fx106_00_700spd,fx106_00_500spd,fx106_00_500shear,fx106_03_700spd,fx106_03_500spd,fx106_03_500shear,fx502_00_low,fx502_00_trough,fx502_00_alt,WA_500_12_temp,WA_500_12_hum,WA_500_12_spd,WA_500_12_dir,TA_500_12_temp,TA_500_12_hum,TA_500_12_spd,TA_500_12_dir,WA_700_12_temp,WA_700_12_hum,WA_700_12_spd,WA_700_12_dir,TA_700_12_temp,TA_700_12_hum,TA_700_12_spd,TA_700_12_dir,MA_500_12_temp,MA_500_12_hum,MA_500_12_spd,MA_500_12_dir,MA_700_12_temp,MA_700_12_hum,MA_700_12_spd,MA_700_12_dir,tmp,dwp,relh,dir,spd,alt,vsby,gust,vis1,vis2 ,vis3
10,25,0,10,30,0,0,0,0,-9,97,25,214,-9.7,95,20,233,4.3,97,17,186,4.4,100,11,184,-7.6,73,25,234,6.3,100,13,226,13,12,93.65,0,2,30.33,4.97,0,400,2500,10000
30,35,0,35,30,0,0,0,0,-10.5,10,39,242,-8.9,73,24,259,1.4,75,9,259,7.2,70,13,231,-10.7,45,29,240,5.9,3,4,312,13,12,93.65,0,0,30.09,4.35,0,200,400,600
25,40,0,20,40,0,0,0,0,-13.7,21,19,265,-11.8,4,14,271,6,4,11,287,6.4,10,12,266,-11.9,6,2,33,7.9,3,4,341,15,12,82.25,330,9,30.15,6.21,0,1000,2500,4000
10,5,0,5,0,0,0,0,0,-14,80,9,2,-9.2,92,25,217,4.9,4,8,190,-0.4,79,7,77,-13.4,46,1,124,6.9,2,3,43,14,12,87.74,350,3,30.18,6.21,0,800,3000,4500
20,45,0,30,40,0,0,0,0,-14.2,32,12,284,-8.8,2,20,225,3.7,9,9,334,6.1,78,4,301,-12.6,12,9,271,5.7,3,5,251,11,10,93.55,120,3,30,3.11,0,200,3000,4000
15,30,0,15,30,0,0,0,0,-13.8,89,13,222,-10.8,89,21,245,3.6,18,5,248,4.1,20,3,252,-11.2,94,19,213,1.2,100,3,166,12,10,87.56,0,2,30.06,6.21,0,300,800,10000
10,30,6,15,25,0,0,0,0,-12.1,93,9,186,-9.7,96,14,225,1.1,54,8,130,2.3,27,10,143,-14.1,47,16,226,3.3,97,6,285,14,12,87.74,0,0,30.24,6.21,0,600,2000,3000
10,45,6,45,50,0,0,0,0,-11.1,7,22,314,-11.9,31,10,246,2.4,81,5,341,5,74,7,224,-10.5,3,26,241,6.6,5,10,279,11,11,100,340,3,30.09,2.49,0,200,2000,3000
20,55,6,20,60,0,0,0,0,-15.1,18,25,246,-13.3,46,21,258,-1,100,12,261,1.9,71,13,231,-11.4,13,24,234,1.9,4,11,268,12,11,93.6,0,2,29.94,6.21,0,300,1500,2500
20,50,0,25,50,0,0,0,0,-18.3,4,23,255,-14.4,10,30,247,-5.2,69,8,272,-3.1,79,12,252,-13.6,15,24,273,-0.3,6,6,326,11,9,87.47,0,1,29.97,6.21,0,600,5000,15000
10,35,0,10,30,0,0,0,0,-14.4,3,19,248,-12.7,3,24,257,0.6,3,12,236,1.4,3,10,216,-13.1,92,21,257,-0.1,68,12,233,9,7,87.28,0,1,30.12,6.21,0,400,1000,2500
10,50,9,20,60,0,0,0,0,-16.1,9,24,264,-10.1,3,43,246,-0.8,28,16,236,0.8,73,9,269,-13,6,15,263,2.1,10,11,266,9,7,87.28,0,2,30.06,6.21,0,300,6000,8000
25,45,0,25,40,0,0,0,0,-15.6,7,21,267,-13.8,4,21,258,1.7,8,12,276,3.1,8,10,262,-13.4,4,19,276,5.8,4,10,280,9,7,87.28,0,2,30.12,4.97,0,200,600,1000
15,40,0,20,45,0,0,0,0,-16.8,3,17,266,-14.6,3,25,258,1,10,15,279,3.3,6,13,264,-14.2,34,28,263,2.1,18,8,266,9,7,87.28,0,2,30.18,4.97,0,600,2000,7000
25,30,0,25,35,0,0,0,0,-16,11,25,298,-14.5,10,23,271,1.5,2,15,323,3.5,10,14,291,-13,12,11,302,4.6,19,5,338,5,5,100,10,3,30.06,0.5,0,100,10000,10000
15,20,0,10,25,0,0,0,0,-17.1,16,20,268,-14.2,24,17,272,0.1,22,9,270,1.5,17,8,279,-12.7,87,21,269,3.5,8,7,235,9,5,76.01,0,1,30.21,6.21,0,2000,10000,10000
20,35,0,25,40,0,0,0,0,-18.5,31,19,272,-16.3,89,24,256,-4.5,100,4,358,-2.1,73,12,224,-16.5,40,20,267,-1.4,45,13,299,7,5,87.09,0,1,30.09,6.21,0,2000,18000,10000
15,30,0,20,25,0,0,0,0,-22.7,8,16,307,-21.8,7,17,290,-5.1,14,14,327,-4.4,10,15,303,-17.7,19,13,281,-0.8,27,4,318,8,6,87.19,0,2,30,6.21,0,600,2500,10000
15,30,0,15,25,0,0,0,0,-20.5,6,12,299,-20.6,6,14,274,-4,6,11,282,-2.5,12,10,269,-16.5,2,11,334,-1.9,10,2,22,4,1,80.79,0,2,30.09,6.21,0,2000,10000,10000
